 Dose [Gy]   Relative dose [%] Ratio of Total Structure Volume [%]
                0                   0                       100
              0.1            0.179211                       100
              0.2            0.358423                       100
              0.3            0.537634                       100
              0.4            0.716846                       100
              0.5            0.896057                       100
              0.6             1.07527                       100
              0.7             1.25448                       100
              0.8             1.43369                       100
              0.9              1.6129                       100
                1             1.79211                       100
              1.1             1.97133                       100
              1.2             2.15054                       100
              1.3             2.32975                       100
              1.4             2.50896                       100
              1.5             2.68817                       100
              1.6             2.86738                       100
              1.7             3.04659                       100
              1.8             3.22581                       100
              1.9             3.40502                       100
                2             3.58423                       100
              2.1             3.76344                       100
              2.2             3.94265                       100
              2.3             4.12186                       100
              2.4             4.30108                       100
              2.5             4.48029                       100
              2.6              4.6595                       100
              2.7             4.83871                       100
              2.8             5.01792                       100
              2.9             5.19713                       100
                3             5.37634                       100
              3.1             5.55556                       100
              3.2             5.73477                       100
              3.3             5.91398                       100
              3.4             6.09319                       100
              3.5              6.2724                       100
              3.6             6.45161                       100
              3.7             6.63082                       100
              3.8             6.81004                       100
              3.9             6.98925                       100
                4             7.16846                       100
              4.1             7.34767                       100
              4.2             7.52688                       100
              4.3             7.70609                       100
              4.4              7.8853                       100
              4.5             8.06452                       100
              4.6             8.24373                       100
              4.7             8.42294                       100
              4.8             8.60215                       100
              4.9             8.78136                       100
                5             8.96057                       100
              5.1             9.13978                       100
              5.2               9.319                       100
              5.3             9.49821                       100
              5.4             9.67742                       100
              5.5             9.85663                       100
              5.6             10.0358                       100
              5.7             10.2151                       100
              5.8             10.3943                       100
              5.9             10.5735                       100
                6             10.7527                       100
              6.1             10.9319                       100
              6.2             11.1111                       100
              6.3             11.2903                       100
              6.4             11.4695                       100
              6.5             11.6487                       100
              6.6              11.828                       100
              6.7             12.0072                       100
              6.8             12.1864                       100
              6.9             12.3656                       100
                7             12.5448                       100
              7.1              12.724                       100
              7.2             12.9032                       100
              7.3             13.0824                       100
              7.4             13.2616                       100
              7.5             13.4409                       100
